author,comment,likes,published_at
@nonongmisiyani158,"INDO...... HARUS ADA YG   LEBIh  TEGAS  Bpk.  MAHFud  M. D. Yg Terhormat . SMPE  KIAMAT  MANGKIN  AMBLEG. Pk.. Pancasila  udha  D, injak,, tdk  D, hormati.  KoROpSI  D, LINDUNGI  . Jokowi. Bpk. R. I. Trnyata  samaa..  SEHARUSNYA  MALU  NEGARA  LAIN.   Bpk. M. D. ❤❤😂😂😂😂😂",0,2026-04-28T20:07:23Z
@yasidariyanto3009,"Pak Mahfud pintar,.. sayangnya pada saat pemilu, gak ada yg mau pilih Pak Mahfud, mungkin karena Rakyat kurang suka dgn Capresnya  yaitu Pak Ganjar.",0,2026-04-28T19:26:44Z
@TheIstoria23,"Jangan lupa, pak Mahfud juga pihak yang kalah waktu pemilu.",0,2026-04-28T15:35:31Z
@MbahTekad-q6r,Lanjutkan prof mahfud biar didengar tau kalangan bawah .mbg itu program tai gibran,0,2026-04-28T14:33:56Z
@harijantosoebagio773,"Setuju pak ,NKRI morat marit 🙏🙏😭😭",0,2026-04-28T08:58:16Z
@ahmadsupriono5305,Apakah indonesia ini akan hancur kalau caranya tifak mau di kritik di analisa dulu kalau pemasukan dari masarakat atau seperti pak mahmud md di talaah dulu baik bagi pemerintah apakah itu makar? Semua kebijakan apakah sudah tepat sasaran,0,2026-04-28T01:48:51Z
@krisnaabdi1803,"🙏Ojo dumeh, Eling lan Waspodo.
Pemain sama Penonton/komentator beda pemikiran. 🙏",0,2026-04-28T01:26:34Z
@srisumarmi9777,"Kita tahu bahwa kebijakan Pak Prabowo banyak yang keluar dari Konstitusi , Para  pakar ,para pengamat ,para akademisi dan juga Rakyat  Indonesia sudah banyak yang mengingatkan tetapi Pak Pra bowo dan Pemerintahannya  tidak ada yang mau peduli . padahal kebijakan Pak  Pra bowo banyak yang berbahaya  buat Bangsa dan Negara Indo nesia , sudah waktunya  DPR , Penegak Hukum , Polisi  ten tara ,para menteri sadar untuk  bela Negara dan mencintai tanah air  serta  peduli akan  Rakyat ,Bangsa dan Negara  Indonesia . Untuk DPR anda  dipilih Rakyat , anda dibayar Rakyat , anda didukung Rakyat tapi anda khianat kepada Rakyat . Untuk penegak Hukum Polisi dan Tentara mana Sumpah dan janjimu ketika dilantik untuk setia pada Bangsa dan Negara tetapi sekarang anda setia pada rezim . Apakah anda semua rela kalau Bangsa dan Negara kita  dinjak injak Bangsa lain .Selayaknya anda mulai sadar mencintai Negeri ini dan membela serta mencegah kerusakan di Negeri ini .Ingat sumpah dan janjimu ketika dilantik .(Suara Rakyat jelata ).🎉🎉🎉",0,2026-04-28T01:16:08Z
@B_Masni,Semua pemimpin pastilah ada kelebihan &.ada kekurangan ya diakui saja . Yg penting waspada koroptor harus dibrantas tuntas agar harta / kekayaan negara tidak boleh dicuri dikorop Brantas koropsi sampai habis .,0,2026-04-27T23:40:15Z
@syafrilsyamsudin3437,Pak prabowo kan dah berjanji akan melanjutkan rezim sebelumnya klau ga begitu kan ga kan menang walaupun mengkhianati buku sendiri yg dibilang pak mahfud,0,2026-04-27T23:08:36Z
@gbinshut9587,"Pak prabowo menyatakan focus ttg transformasi negara, itu perlu klarifikasi pak Mahfud...!?",0,2026-04-27T22:29:07Z
@baharuddinnojeng4268,Meman benar kt pak Mahpud bahwa negara kita ini dlm keadaan tidak baik2 saja hukum pilih kasih korupsi meraja lela org sk kriminalisai kritik dikatakan makar ini keliru,0,2026-04-27T20:42:51Z
@MaznahSabidi-x1m,Setuju 👍 probowo kne undur sebab dia menjadikan Indonesia budak kepada Amerika demi melindungi negara haram Israel,0,2026-04-27T20:36:27Z
@ic4l2024,Machpud ini memperbodoh bahwa  Sjaiful Mujadi  menghasut  rakyat/ pengakuan  Herkules  dubujuk  utk  revolusi  menurunkan  bp. Prabowo  seperti  menurunkan  Soeharto  thn  1998   Sudah pasti  Sjaiful Mujani  menghasut  politikus  busuk/ kebencian  terhadap  bp. Jokowi.  Bp. Prabowo  sdh  membuktikan  telah  membangun  Koperasi  Desa/  di NKRI  contohnya  di  Desa Mayak  Kec.Bitung Kab.Lebak dll diseluruh Indonesia.,1,2026-04-27T19:56:31Z
@payrise88,Undang saya pak❤❤. Banyak yg mau saya tanyakan 🤭🤭🤭,0,2026-04-27T18:28:00Z
@Suharis-i1y,PENDAPAT YANG MENYESATKAN,0,2026-04-27T14:54:37Z
@BudiSantoso-s5i,"Hebat bp Mahfud,bongkar penyimpangan""Prabowo selama ini,biar rakyat sht dpt edukasi.......!",0,2026-04-27T12:49:21Z
@Suhardi-we7yr,Nyimak pak,0,2026-04-27T11:24:57Z
@Tmobil4576,GILA GIBRAN PROF MAHMUD DI EJEK,1,2026-04-27T10:53:26Z
